,Name,Mathches_played,Goals,Assist,Yellow_cards,Yellow_to_red,Red_cards,Minutes_played
2510,Alexis Sánchez,33,12,11,6,1,0,2.517'
2511,David de Gea,49,0,2,0,0,65,4.410'
2512,Edinson Cavani,47,33,7,8,1,0,3.833'
2513,Santi Cazorla,54,8,13,10,0,0,4.039'
2514,Stewart Downing,44,8,9,0,0,0,3.710'
2515,Mirko Vucinic,37,11,4,4,0,0,2.517'
2516,Stephan El Shaarawy,30,9,2,0,0,0,1.971'
2517,Arturo Vidal,44,13,10,9,1,0,3.505'
2518,Nuri Sahin,40,8,13,4,0,0,3.500'
2519,Phil Jones,29,0,0,4,0,0,2.339'
2520,Balázs Dzsudzsák,66,23,21,12,0,0,5.313'
2521,Jordan Henderson,39,3,5,2,0,0,3.319'
2522,Ashley Young,40,9,13,10,1,0,3.538'
2523,Gökhan Inler,36,3,5,5,0,1,3.095'
